id,createTime,endTime,state,type
111094490,2026-09-20 04:49:46.109000,2026-09-20 04:54:15.957000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111093398,2026-09-20 04:45:48.588000,2026-09-20 04:50:46.955000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111092246,2026-09-20 04:41:45.926000,2026-09-20 04:45:01.721000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111091061,2026-09-20 04:37:46.420000,2026-09-20 04:40:51.271000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111089961,2026-09-20 04:33:45.816000,2026-09-20 04:38:15.070000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111088851,2026-09-20 04:29:46.232000,2026-09-20 04:33:00.501000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111087747,2026-09-20 04:25:46.819000,2026-09-20 04:29:13.730000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111086587,2026-09-20 04:21:46.052000,2026-09-20 04:24:09.926000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111085424,2026-09-20 04:17:45.528000,2026-09-20 04:21:59.389000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111084327,2026-09-20 04:13:45.368000,2026-09-20 04:18:59.201000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111083186,2026-09-20 04:09:45.509000,2026-09-20 04:12:47.170000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111082065,2026-09-20 04:05:49.016000,2026-09-20 04:08:22.866000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111080924,2026-09-20 04:01:45.252000,2026-09-20 04:05:06.303000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111079780,2026-09-20 03:57:45.523000,2026-09-20 04:00:22.940000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111078686,2026-09-20 03:53:45.272000,2026-09-20 03:57:48.103000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111077710,2026-09-20 03:49:47.882000,2026-09-20 03:51:49.485000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111076453,2026-09-20 03:45:46.359000,2026-09-20 03:50:28.453000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111075352,2026-09-20 03:41:45.323000,2026-09-20 03:46:15.391000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
111074089,2026-09-20 03:35:18.908000,2026-09-20 03:39:20.592000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_VALIDATION

Use "kaggle competitions replay <episode_id>" to download a replay, or "kaggle competitions logs <episode_id> <agent_index>" for agent logs.
